Designator,Mid X,Mid Y,Rotation,Layer
C1,117.5,-70.0,0.0,top
C10,128.0,-67.0,180.0,top
C11,111.8625,-67.55,0.0,top
C12,122.9125,-67.5,0.0,top
C13,117.4125,-67.45,180.0,top
C2,125.9,-70.0,0.0,top
C3,114.0,-101.75,270.0,top
C4,124.0,-101.25,270.0,top
C5,113.0,-79.725,90.0,top
C6,108.725,-73.75,180.0,top
C7,114.5,-76.475,90.0,top
C8,123.0,-76.475,90.0,top
C9,138.5,-69.7,270.0,top
D1,114.0,-72.5,270.0,top
D2,122.575,-72.5,270.0,top
D3,137.5,-104.0,0.0,top
D4,148.2125,-104.0,0.0,top
D5,105.0,-73.5,0.0,top
J1,110.525,-89.5,90.0,top
J2,155.825,-89.5,270.0,top
J3,147.25,-72.445,180.0,top
Q1,122.96,-92.72,180.0,top
Q2,136.96,-92.72,180.0,top
Q3,122.96,-82.72,180.0,top
Q4,136.96,-82.72,180.0,top
R1,127.175,-97.25,0.0,top
R10,135.675,-74.25,0.0,top
R11,128.0,-65.5,180.0,top
R12,128.0,-64.0,180.0,top
R13,152.0,-98.175,270.0,top
R14,108.7125,-72.0,0.0,top
R2,130.25,-96.425,90.0,top
R3,141.175,-97.25,0.0,top
R4,144.25,-96.425,90.0,top
R5,127.175,-87.25,0.0,top
R6,130.25,-86.425,90.0,top
R7,141.175,-87.25,0.0,top
R8,144.25,-86.425,90.0,top
R9,135.675,-72.5,0.0,top
U1,118.0,-74.75,0.0,top
U2,126.5,-74.75,0.0,top
U3,134.0,-67.0,90.0,top
U4,105.71,-78.22,180.0,top
U5,123.0,-65.0,0.0,top
U6,117.5,-65.0,0.0,top
U7,112.0,-65.0,0.0,top
